Event Name,Format,Organizer,Start Date,City,Country,Description,URL
"FutureCon Cybersecurity Conference - Montreal, QC",In Person,FutureCon Events,2025-06-18,Montreal,Canada,Join FutureCon Events in Montreal for a day of high-level cybersecurity training for C-suite executives and CISOs.  Attend illuminating presentations and a panel discussion featuring C-level executives who have effectively mitigated the risk of cyberattacks. Discover cutting-edge security approaches and interact with security leaders to gather details on pressing topics of interest to the information security community.,https://futureconevents.com/events/montreal-qc-2025
IANS: CISO Roundtable New York,In Person,IANS,2025-06-17,New York City,United States,"IANS CISO Roundtables bring together CISO peers and IANS Faculty practitioners to share best practices in a trusted, closed-door environment, without vendor presence. This is an opportunity to discuss the critical issues shaping the security industry and dive into innovative solutions to face those challenges.",https://www.iansresearch.com/what-we-do/events/roundtables/details/2025/06/17/2025-ciso-roundtables/2025-june-17-ciso-roundtable
The Official Cybersecurity Summit: Hartford,In Person,Cybersecurity Summit,2025-06-17,Hartford,United States,"The 3rd Annual Hartford Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception.",https://cybersecuritysummit.com/summit/hartford25/
Insider Risk Management Program Evaluation & Optimization Training Course,In Person,Insider Threat Defense Group (ITDG),2025-06-17,San Antonio,United States,"This two-day training course is designed for anyone managing or supporting an Insider Risk Management Program. It provides core and advanced knowledge and resources to develop, manage, evaluate, and optimize an IRMP, identify security gaps, and create a comprehensive program. The course covers topics such as insider threat overview, motivations, employee behavioral indicators, and contributing organizational risk factors.",https://www.eventbrite.com/e/insider-risk-management-program-evaluation-optimization-training-course-tickets-1325466288349
InCyber Forum Americas,In Person,Forum INCYBER,2025-06-17,"San Antonio, Texas",United States,"The Forum INCYBER arrives in San Antonio, a cyber territory, for a first edition in the United States.",https://americas.forum-incyber.com/
2nd Government Cybersecurity Summit Abu Dhabi,In Person,Building Cyber Resilient,2025-06-17,Abu Dhabi,United Arab Emirates,"The 2nd Edition of the Government Cybersecurity Summit Abu Dhabi is a premier event that brings together policymakers, industry leaders, and cybersecurity experts to tackle the evolving landscape of “UAE Cyber Defense.” This summit addresses the growing complexities governments face in safeguarding their digital assets and critical infrastructure. It serves as a collaborative platform to discuss cutting-edge strategies, share best practices, and strengthen cybersecurity resilience across public sector organizations.",https://govcybersecuritysummit.com/
UNHACKED INTERNATIONAL CYBERSECURITY CONFERENCE,Hybrid,Momentera Scientific Event Management Pvt Ltd,2025-06-16,Prague,Czech Republic,"Join the Unhacked International Cyber Security Conference from October 27-29, 2025, in Prague, Czech Republic, for a gathering of cybersecurity leaders and experts. This conference will address the challenges and opportunities shaping the future of cybersecurity through keynotes, expert-led sessions, interactive panels, and hands-on workshops, providing actionable knowledge and offering 24 CPD credits.",https://momentera.org/conferences/unhacked-conference/
KubeCon + CloudNativeCon Japan,In Person,Cloud Native Computing Foundation,2025-06-16,Tokyo,Japan,"The Cloud Native Computing Foundation’s flagship conference brings together adopters and technologists from leading open source and cloud native communities in Tokyo, Japan from June 16-17, 2025. Be a part of the conversation as CNCF Graduated, Incubating, and Sandbox Projects unite for two days of collaboration, learning, and innovation to drive the future of cloud native computing.",https://events.linuxfoundation.org/kubecon-cloudnativecon-japan/
Bank IT USA 2025,In Person,Auro Events,2025-06-16,New York CIty,United States,"The 12th Annual Bank IT conference is focused on the Banking, & financial services Sector covering Cloud, Network Security, Platform Engineering, Cybersecurity, GenAI, DevOps, DevSecOps, Information security, Data Science, AppSec, GRC, Threat Detection, Risk Evaluation and assessment, Hybrid Cloud, Attack Surface Management, Endpoint Security & Ransomware protection, Cloud Security, Enterprise Architecture & more. Join us and Enjoy Networking at the Bank IT USA Conference and make new connections.",https://www.bankitusa.com/
SANS ICS Security Summit & Training 2025,Hybrid,SANS Institute,2025-06-15,Lake Buena Vista,United States,"The 20th Annual SANS ICS Security Summit will be held at Disney World, offering something for everyone from introductory learning to advanced insights for seasoned practitioners. Experience in-depth talks, hands-on workshops, and practical takeaways led by industry experts. Extend the experience with world-class training courses immediately after the Summit.",https://www.sans.org/cyber-security-training-events/ics-security-summit-2025/
Hak4Kidz 2025,In Person,Hak4Kidz,2025-06-14,Chicago,United States,"Hak4Kidz is the first official youth based ethical hacking conference in Chicago that is not a hackathon. The event will take place on Saturday, June 14th, 2025, with doors opening at 8:30am and the day ending at 4pm CDT at the Irish American Heritage Center.",https://www.hak4kidz.com/
VULNCON 2025,In Person,Vulncon,2025-06-14,Bengaluru,India,"VULNCON 2025 is a security conference and training event featuring keynotes, workshops, and a CTF. The event includes talks on topics such as malware hunting, cloud security, network pwnage, and IoT security. It features speakers like Vicky Ray, Monnappa K A, and Joshua Bahirvani.",https://vulncon.in/
Elbsides 2025,In Person,Elbsides,2025-06-13,"Hamburg, Germany",Germany,"The Elbsides 2025 computer security community conference will be held in Hamburg, Germany on Friday, the 13th of June 2025. The conference will feature talks on various security topics, including IPv6 based covert channels, Internet Message-Protection, file upload vulnerabilities, defensive software architecture, CI/CD chain security risks, SBOMs, phishing, cybercrime effects, tracking across apps and the web, pentesting, AI security, and malware. Registration is open.",https://www.elbsides.eu/2025/
HMG Strategy: Annual New York CISO & Technology Leadership Summit,In Person,HMG Strategy,2025-06-12,New York City,United States,"The 9th Annual New York CISO & Technology Leadership Summit brings together top cybersecurity leaders to discuss the latest challenges and opportunities in the industry. Attendees will gain valuable insights on topics such as risk management, threat intelligence, and digital transformation.",https://web.cvent.com/event/4d3505f0-ad7b-4784-bf7f-79b42d177a62/summary
The Official Cybersecurity Summit: Milwaukee,In Person,Cybersecurity Summit,2025-06-12,Milwaukee,United States,"The 2nd Annual Milwaukee Cybersecurity Summit connects cybersecurity executives and seasoned practitioners with innovative solution providers and renowned information security experts. Admission offers access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception.",https://cybersecuritysummit.com/summit/milwaukee25/
CIOMeet 2025: London,In Person,CXO Inc.,2025-06-12,London,United Kingdom,"CIOMeet by CXO Inc. is a collaborative community of CIOs that instigate both innovation and growth within the organization they serve. Their events allow CIOs to discuss, debate, and challenge strategies through riveting panels, intimate roundtables, and 1:1 discussions.",https://www.ciomeet.org/
DevLille 2025,In Person,DevLille,2025-06-12,Lille,France,"DevLille 2025 will offer two days of tech conferences with a human and environmental dimension, in harmony with the challenges of the current world, at Lille Grand Palais, with over 1500 participants, 60 speakers, 44 conferences, and 4 tracks. The event is eco-responsible, with a focus on reducing waste and using local products. It also includes programming awareness workshops for students and workshops on climate and environmental impact.",https://devlille.fr/
SREday: Cologne 2025,In Person,SREDAY,2025-06-12,Cologne,Germany,"SREday Cologne is a one-day conference on Site Reliability, DevOps and Cloud, taking place on June 12, 2025 in Cologne, Germany. The event will feature talks on AI agents for incident management, incident response for leaders, managing databases in the cloud, platform engineering for private cloud, DevOps XXL and Automating SRE Operations with Multi-Agent AI.",https://sreday.com/2025-cologne-q2/
Data Innovation Summit APAC 2025,In Person,Data Innovation Summit,2025-06-12,Singapore (City),Singapore,"The Data Innovation Summit APAC is an annual event bringing together innovators, practitioners, and academics to discuss AI-driven transformation. The 4th APAC edition will feature over 40 speakers across four stages, workshops, and networking opportunities, focusing on data innovation, data science, and AI. The event aims to enhance customer experience, improve operations, enable sustainability, and reinvent business models through data and AI.",https://apac.datainnovationsummit.com/
Cyber Crime Forum Wien 2025,In Person,lsz.at,2025-06-12,Vienna,Austria,"Unsere Konferenz bringtCISOs, IT-Security- & Risiko-Manager:innenmitführenden Technologieanbietern, interessanten Start-upsundrenommierten Expert:innenzusammen. Gemeinsam beleuchten wir die aktuellenIT-Security Trends & Herausforderungenund stellen die wichtigsten Entwicklungen ins Rampenlicht.",https://lsz.at/events/cyber-crime-forum-wien
Jack Henry Cybersecurity & Fraud + Digital Banking Forum,In Person,Jack Henry,2025-06-11,Portsmouth,United States,Join cybersecurity experts from Jack Henry and Rebyc Security as they discuss today’s security challenges and trends impacting you and your valued accountholders. Participate in a real-world training exercise designed to help you prepare for current cyber and fraud threats.,https://discover.jackhenry.com/cybersecurity-fraud-digital-banking-forum
CYBERSEC EXPO & FORUM 2025,In Person,Kosciuszko Institute,2025-06-11,Kraków,Poland,"CYBERSEC EXPO & FORUM 2025 is the 20th edition of the event. This event brings together a community of cybersecurity experts, with over 16,000 participants from 110 countries, featuring 520 panels and presentations, and 8,800 m² of exhibition space.",https://2025.cybersecforum.eu/
CyberSec India Expo,In Person,cybersecindiaexpo,2025-06-11,Mumbai,India,"CyberSec India Expo 2025 is positioned to provide a platform where industry leaders will witness cutting-edge innovations, network with peers and competitors, learn, and foster growth in cybersecurity. This event also offers a unique opportunity to explore AI-powered cybersecurity solutions, connect with industry luminaries, and engage in enriching discussions on data privacy, regulatory frameworks, and strategies for safeguarding personal and organizational data—especially in light of the recentDigital Personal Data Protection (DPDP) Act. Attendees will gain fresh insights into compliance, risk management, and the evolving landscape of cybersecurity, ultimately driving progress and innovation in the field.",https://www.cybersecindiaexpo.com/
Planet Cyber Sec: AppSec SoCal,In Person,Planet Cyber Sec,2025-06-11,Santa Monica,United States,"Join the Planet Cyber Sec AppSec SoCal conference for cybersecurity professionals, developers, and business leaders. Connect with experts, explore cutting-edge strategies, and network with top-tier professionals in Santa Monica. The event includes discussions, practical knowledge sharing, and CPE credits.",https://planetcybersec.com/061125-conference
Defenders Tour: SecOps Workshop - Austin,In Person,LimaCharlie,2025-06-11,Austin,United States,"This hands-on workshop demonstrates how to build a unified, automated security operations architecture by integrating three complementary platforms. Attendees will leave with practical detection rules, automation playbooks, and a working integration they can immediately deploy in their environment. The workshop will cover threat intelligence integration with SOCRadar, building a scalable security foundation with LimaCharlie, and automated security workflows with Tines. Includes lunch and a happy hour networking event.",https://lu.ma/defenders-tour-austin
Cyber Security for Critical Assets,In Person,canada.cs4ca,2025-06-11,Calgary,Canada,"In 2023, by November 1st, Ransomware attacks in Canada had surpassed the previous year with more than 4,000 victims on leak sites. Although 43% of companies in Canada have placed a bigger focus on cyber security in response – more needs to be done in order to take cyber security seriously. This is only reinforced as organizations are becoming increasingly worried about potential cyber threats from new technology, with 68 percent stating generative AI presents massive risk to their operations. Nevertheless, few have suitable policies in place to prevent, protect and educate their teams. Hence, this need for further knowledge and collaboration is why CS4CA Canada returns to Calgary for its 3rd Annual Edition.",https://canada.cs4ca.com/
Gen AI & Hyperautomation in Finance Summit,In Person,Kinfos Events,2025-06-11,Amsterdam,Netherlands,"The Gen AI & HyperAutomation in Finance Summit, the 7th edition of a global series, brings together leaders and experts to explore the impact of Gen AI and automation in banking, insurance, and financial services. The summit provides insights, case studies, and dialogue on intelligent automation, including LLM-powered assistants and autonomous processes, aiming to move financial institutions toward cognitive solutions.",https://kinfos.events/haf/
Cyber Civil Defense Summit 2025,In Person,cybercivildefensesummit.org,2025-06-11,Washington,United States,"Defending public life against cyber threats is a national challenge with profoundly local impacts. With low-level cyber attacks like ransomware consistently on the rise, the task of strengthening the defenses of community organizations in every corner of the nation seems impossible to take on. But no one is alone in this challenge of scaling local and regional cyber defense; across the country, communities are rising up to protect the institutions that uphold public life.",https://cybercivildefensesummit.org/
XChange EMEA 2025,In Person,CRN,2025-06-11,Noordwijkerhout,Netherlands,"XChange EMEA 2025 brings together channel partners for two days of unparalleled insights and networking. The event focuses on key opportunities and challenges facing the channel, from building thriving managed services practices to navigating vendor and customer relationships. Attendees will dive deep into these topics through engaging panels, keynotes, and breakout sessions, expanding their reach, building connections, and staying at the forefront of the EMEA channel landscape.",https://event-emea.thechannelco.com/xchangeemea/en/page/home
Vendor & Third Party Risk Europe,In Person,CeFPro,2025-06-11,London,United Kingdom,"The Vendor & Third Party Risk Europe summit provides a unique opportunity to explore the latest strategies and regulations shaping effective third-party risk management across Europe. Participants will gain valuable insights into managing risks associated with third-party relationships, aligning with evolving regulatory frameworks like DORA, and enhancing program resilience. This event fosters knowledge-sharing through interactive sessions, offering practical takeaways to strengthen risk oversight and ensure compliance.",https://emea.cefpro.events/third-party-risk-europe/
Devoxx Poland 2025,In Person,Devoxx,2025-06-11,Krakow,Poland,"Devoxx Poland 2025 will take place in the ICE Krakow Congress Centre on 11th – 13th June. During 3 days, 2.700 Devoxxians from 20 different countries attend Devoxx Poland including 100+ speakers and another 600K developers enjoy the presentations online. Making Devoxx the biggest Java conference in Poland.",https://devoxx.pl/
"InfoTech 2025, UK&I",Virtual,Executive Partners Network,2025-06-11,London,United Kingdom,"Join the Virtual UK InfoTech Conference, where leading minds in Information Technology come together to shape the future. This event brings together C-level executives to foster innovation, collaboration, and strategic insights through discussions, keynote speakers, and interactive round table sessions. Participants will explore the latest IT trends, data analytics, and data privacy regulations, providing a gateway to knowledge and networking opportunities.",https://epnlive.com/event/infotech2024uki-2/
International Conference on Security and Cryptography,In Person,SCITEPRESS,2025-06-11,Bilbao,Spain,SECRYPT is the International Conference on Security and Cryptography. It is a venue to present and discuss new research results and case studies in all aspects of security and cryptography.,https://secrypt.scitevents.org/
Nullcon Berlin 2025,In Person,Payatu BV,2025-06-10,Berlin,Germany,"Nullcon Berlin 2025, managed by Payatu BV, is an opportunity for cybersecurity professionals to gain insights from the latest innovative research. Attendees can learn about offensive/defensive techniques and new vulnerabilities. The event includes CTFs, workshops, and multiple tracks. Training is from 1st-3rd September 2025, and the conference is on 4th-5th September 2025.",https://nullcon.net/berlin-2025
Tribal Emergency Management Conference,In Person,Native Nation Events,2025-06-10,Temecula,United States,"The Tribal Emergency Management Conference at Pechanga Resort Casino will be held on June 10-11, 2025. The conference is dedicated to empowering tribal nations with the knowledge, resources, and strategies to enhance emergency preparedness, response, recovery, and mitigation. Attendees will explore topics such as active shooter training and response, cyber fraud risk reduction, disaster risk reduction, emergency planning, technology integration, and community resilience building.",https://nativenationevents.org/events-conferences/tribal-emergency-management-conference/
The Telecom Threat Intelligence Summit 2025,Virtual,HardenStance.com,2025-06-10,Paris,England,The Telecom Threat Intelligence Summit 2025 is a 2-day virtual event dedicated to improving cyber security outcomes for the telecom sector and its customers through better use of cyber threat intelligence. It serves as a forum for advancing best practice use of threat intelligence in telco cybersecurity operations and provides a venue for sharing best practice threat intelligence sharing within the telco and broader cyber threat intel sharing ecosystems.,https://events.hardenstance.com/
KubeCon + CloudNativeCon China,In Person,Cloud Native Computing Foundation,2025-06-10,Hong Kong,China,"The Cloud Native Computing Foundation’s flagship conference brings together adopters and technologists from leading open source and cloud native communities in Hong Kong from 10-11 June, 2025. Be a part of the conversation as CNCF Graduated, Incubating, and Sandbox Projects unite for two days of collaboration, learning, and innovation to drive the future of cloud native computing.",https://events.linuxfoundation.org/kubecon-cloudnativecon-china/
Relativity Fest London 2025,In Person,relativityfest,2025-06-10,London,United Kingdom,Surround yourself with good education and even better people at Relativity Fest London. Learn about challenges and opportunities in EMEA's legal data community through a full day of sessions and networking activities.,https://relativityfest.com/london/
International Conference on Reliable Software Technologies (AEiC 2025 aka Ada-Europe 2025),In Person,Ada-Europe,2025-06-10,Paris,France,"The 29th Ada-Europe International Conference on Reliable Software Technologies (AEiC 2025 aka Ada-Europe 2025) will take place in Paris, France. The conference schedule comprises invited talks, a journal track, an industrial track, a work-in-progress track, exhibition, parallel tutorials, and satellite workshops. The conference is a leading international forum for providers, practitioners, and researchers in reliable software technologies. The conference presentations will illustrate current work in the theory and practice of the design, development, and maintenance of long-lived, high-quality software systems for a challenging variety of application domains.",http://www.ada-europe.org/conference2025/
DASH by Datadog 2025,In Person,dashcon.io,2025-06-10,New York City,United States,"Kumail Nanjiani is an Oscar and Emmy-nominated actor, writer, and comedian known for The Big Sick, Silicon Valley, and The Eternals. He recently starred in Welcome to Chippendales, Ghostbusters: Frozen Empire, Only Murders in the Building Season 4, and voiced a role in Migration. Upcoming projects include Ella McCay and Poker Face Season 2. He's also a regular on the LA stand-up scene.",https://www.dashcon.io/
Healthcare Innovation Summit - San Francisco,In Person,Healthcare Innovation,2025-06-09,San Francisco,United States,"The Healthcare Innovation Summit in San Francisco brings together C-level, physician, practice management, and healthcare decision-makers from North America’s leading provider organizations and physician practices to discuss the latest trends and innovative ideas in healthcare, with interactive sessions and networking opportunities.",https://www.hisummits.com/san-francisco
USENIX Conference on Privacy and Electronic Records,In Person,usenix.org,2025-06-09,Santa Clara,United States,"Become a Sponsor: Sponsorship exposes your brand to highly qualified attendees, funds our grants program, supports open access to our conference content, and keeps USENIX conferences affordable. USENIX is a 501(c)(3) non-profit organization that relies on sponsor support to fulfill its mission. To learn more, please contact the Sponsorship Department with the conference name in your subject line.",https://www.usenix.org/conference/pepr25
TECHSPO Boston 2025,In Person,TECHSPO,2025-06-09,Boston,United States,"TECHSPO Boston 2025 is a two day technology expo taking place June 9th - 10th, 2025 at the luxurious The Westin Copley Place Boston Hotel in Boston, Massachusetts. TECHSPO Boston brings together developers, brands, marketers, technology providers, designers, innovators and evangelists looking to set the pace in our advanced world of technology. Exhibitors showcase the next generation of technology & innovation, including; Internet, Mobile, Adtech, Martech and SaaS technologies.",https://techspoboston.com
"International Conference on Applied Science, Engineering and Technology",In Person,Conplus Meeting,2025-06-09,Amsterdam,Netherlands,"The International conference on Applied Science, Engineering and Technology (ICAET), organized by Conplus Meeting will be held on June 09-11, 2025 in Amsterdam, Netherlands. ICAET2025 represent vital gatherings that unite experts and enthusiasts from diverse disciplines worldwide. These events serve as dynamic forums where cutting-edge research, technological advancements, and practical applications converge to address global challenges and foster innovation.",https://appliedscience.conplusmeeting.com/
InfoQ Dev Summit Boston 2025,In Person,InfoQ and QCon,2025-06-09,Boston,United States,"InfoQ Dev Summit Boston delivers the strategies, technical insights, and leadership tools senior developers and architects need to thrive in a world that won't wait. The summit features practical strategies to lead through tech transformation, covering topics such as AI, cloud complexity, and security threats.",https://devsummit.infoq.com/conference/boston2025
Databricks Data+AI Summit 2025,Hybrid,Databricks,2025-06-09,San Francisco,United States,"Join 20,000 of your peers in San Francisco, June 9–12, for 700+ sessions, keynotes and training at the world’s largest data, analytics and AI conference",https://www.databricks.com/dataaisummit
SANS Cyber Defence South Asia 2025,Virtual,sans.org,2025-06-09,New Delhi,India,"World-Class Cyber Security Training, Live Online: Join us for an unparalleled learning experience delivered by world-renowned cybersecurity instructors. During SANS Cyber Defence South Asia 2025 (9-14 June), benefit from real-time access to industry experts, immersive training sessions, and industry-leading hands-on labs - all from the comfort of your own environment.",https://www.sans.org/cyber-security-training-events/cyber-defence-south-asia-2025/
North Texas Black Tech Symposium – June 2025,Hybrid,The Black Tech Symposium,2025-06-09,Dallas,United States,"The North Texas Black Tech Symposium brings together Black technologists, Black tech organizations, and allies to network, learn, and be inspired. Join us as we showcase the successes and possibilities of greater Washington D.C. Black tech community.",https://blacktechsymposium.biz/upcoming-events/north-texas-black-tech-symposium-june-2025/
Turbo360: Integrate 2025,In Person,TURBO360,2025-06-09,London,United Kingdom,"INTEGRATE is the premier gathering uniting Azure enthusiasts, Microsoft Product Groups, and industry leaders to connect, ignite ideas, and drive growth in the integration community. The event features discussions on Azure Integration Services, AI in Integration, APIs, Power Platform, and Azure Data Integration.",https://turbo360.com/events/integrate-2025/
Security LeadHER 2025,In Person,ASIS International and the Security Industry Association,2025-06-09,Detroit,United States,"Security LeadHER is a conference presented by ASIS International and the Security Industry Association, dedicated to advancing women in the global security industry. The event will connect attendees with keynotes, networking, breakouts, and opportunities to develop leadership skills. The 2025 conference will take place June 9-10 in Detroit, Michigan.",https://securityleadher.org/
EAI ICMTEL 2025 – 7th EAI International Conference on Multimedia Technology and Enhanced Learning,In Person,EAI,2025-06-08,Changsha,China,"The 7th EAI International Conference on Multimedia Technology and Enhanced Learning (ICMTEL 2025) provides an opportunity for researchers to publish theoretical and technological studies of emerging AI and LLMs, and their novel engineering applications within the multimedia processing domain. The conference will be held in Changsha, China, on June 8-9, 2025.",https://icmtel.eai-conferences.org/2025/
Pax8 Beyond 2025,In Person,pax8beyond,2025-06-08,Denver,United States,I’VE ATTENDED SO MANY EVENTS AND PAX8 BEYOND JUST WON THE SUPERBOWL OF USER CONFERENCES. IT WAS THE BEST I’VE SEEN.,https://www.pax8beyond.com/
Cisco Live! San Diego 2025,Hybrid,Cisco,2025-06-08,San Diego,United States,"Join Cisco in San Diego or online to discover how Cisco is revolutionizing how infrastructure and data connect and protect organizations in the AI era. Attendees can explore the latest innovations, network with peers, and hear from industry leaders.",https://www.ciscolive.com/global.html
Rocky Mountain Computer Science Conference for P-12 Educators,In Person,Rock CS,2025-06-08,Breckenridge,United States,"Rock CS 2025 is Colorado’s Computer Science (CS) conference for P-12 Educators. This event supports P-12 teachers with teaching computer science (CS) and computational thinking. Whether you’re a dedicated tech/CS teacher or a classroom teacher interested in learning how to integrate CS into your content, this conference is for you!",https://rockcs.org/
Healthcare IT Institute 2025,In Person,IPMI,2025-06-08,New Orleans,United States,"The 2025 Healthcare IT Institute provides a unique environment for experienced hospital and health system IT, data, digital technology, clinical, and informatics leaders to gather and explore creative solutions to challenges in healthcare. Interactive Panels, Think Tank Sessions, Case Studies, and One-on-One Business Meetings will allow attendees to discuss what has worked, what has not, and how healthcare IT leaders can ensure continued sustainability and future growth.",https://www.ipmievents.com/institutes/healthcare-it-institute-2025
BSides Buffalo 2025,In Person,BSides Buffalo,2025-06-07,Buffalo,United States,"BSides Buffalo is a grassroots, community-driven information security and technology conference held annually in Buffalo, NY. The fourth event will be on June 7, 2025 at Canisius University, in the Science Hall building on Main Street. The event welcomes speakers on security and hacking topics, ranging from offensive security techniques to building a better blue team. There is also a “hacking is art” track, as well as the “Introsec” track for content aimed at attendees who are new to the field. Activities include a Capture the Flag competition, soldering, lockpicking, and more.",https://www.bsidesbuffalo.org/
BSides Fort Wayne 2025,In Person,BSidesFW,2025-06-07,Fort Wayne,United States,"BSidesFW is a community-driven information security conference that brings together professionals, enthusiasts, and newcomers to share knowledge, experience, and ideas. It offers engaging talks from industry experts, hands-on workshops covering various security topics, and networking opportunities.",https://bsidesfortwayne.org/
BSides Buffalo 2025,In Person,BSides Buffalo,2025-06-07,Buffalo,United States,"BSides Buffalo is a grassroots, community-driven information security and technology conference held annually in Buffalo, NY. The fourth event will be on June 7, 2025 at Canisius University, in the Science Hall building on Main Street. The event welcomes speakers on security and hacking topics, ranging from offensive security techniques to building a better blue team, and also includes a “hacking is art” track and an “Introsec” track. Activities include a Capture the Flag competition, soldering, lockpicking, and more.",https://www.bsidesbuffalo.org
HackInBo® Classic Edition Spring 2025,Hybrid,HackInBo®,2025-06-07,Bologna,Italy,"HackInBo® is the largest Information Security conference in Italy. The event was created in 2013 to address the lack of such an event in Italy. It is an opportunity to talk and meet national and international experts in a relaxed and collaborative atmosphere, taking the opportunity to stay updated on the latest IT-Security topics. The event is aimed at company managers, IT managers, system administrators, enthusiasts and all those interested in deepening topics of extreme relevance.",https://www.hackinbo.it
The Evolving Threat Landscape: Cybersecurity in 2025,Virtual,keynoteconnect.org,2025-06-06,,,"Join cybersecurity professionals, IT leaders, and security enthusiasts for this expert-led webinar focused on the latest cyber threats and defense strategies shaping the digital world in 2025. As the threat landscape rapidly evolves—driven by AI, cloud transformation, ransomware, and supply chain vulnerabilities—this session offers practical insights to protect",https://www.keynoteconnect.org/upcoming-conferences/cybersecuritywebinar.html
HackInBo® Business Edition,In Person,HackInBo®,2025-06-06,Bologna,Italy,"HackInBo® Business Edition is a B2B/B2C technical event dedicated to cybersecurity, specifically designed for companies and professionals in the field. The event offers a unique opportunity for businesses to engage with cybersecurity experts, stay updated on the latest trends, and acquire advanced knowledge on protecting their data and IT infrastructure. HackInBo® Business offers technical sessions proposed by specialized companies as well as unique networking opportunities, allowing participants to exchange experiences and establish strategic collaborations to address security challenges in the digital world.",https://www.hackinbo.business
ERTL-YANG Leader Summit 2025: London,In Person,ERTL-YANG,2025-06-05,London,United Kingdom,"ERTL-YANG Leader Summits are designed for business executives across industries to discuss and share insights on key business issues and to grow and deepen their professional networks. The summit offers opportunities for networking, sharing insights, and collaboration on challenges like funding strategies and partnerships, while also featuring thought leadership sessions and private breakout roundtables.",https://www.ertl-yang.com/summits-2025/ertl-yang-leader-summit-london/overview
CrowdTour Calgary 2025,In Person,CrowdStrike,2025-06-05,Calgary,Canada,"Join CrowdStrike in Calgary to share insights on today’s most challenging cyber threats, and new technology and best practices for fending off targeted attacks. See a live demo of the AI-native CrowdStrike Falcon® cybersecurity platform and find out why organizations trust CrowdStrike to stop breaches.",https://www.crowdstrike.com/events/
Conf42: Observability 2025,Virtual,Conf42,2025-06-05,London,United Kingdom,"Conf42 Observability 2025 is an online event focusing on observability. Keynotes include topics like proactive cost management using time series analysis, integrating identity into observability to detect threats, measuring serverless application performance with generative models, making open source profitable, enhancing agility with modular architecture, and transforming security with observable identity systems.",https://www.conf42.com/obs2025
ElevateIT: Dallas Technology Summit 2025,In Person,eitevents,2025-06-05,Dallas,United States,"This event will bring together technology leaders and innovators to discuss the latest trends and challenges in the industry. Attendees will have the opportunity to network with peers, learn from experts, and explore new solutions.",https://eitevents.com/event_pages/dallas-technology-summit-2025/
The Official Cybersecurity Summit,In Person,Cybersecurity Summit,2025-06-05,Salt Lake City,United States,"The 3rd Annual Salt Lake City Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception.",https://cybersecuritysummit.com/summit/saltlakecity25/
Cyber Resilience Forum 2025,In Person,route443.eu,2025-06-05,Heerlen,Netherlands,"Op 5 juni 2025 brengt het Cyber Resilience Forum leiders, experts en innovators samen om kennis te delen, te inspireren en concrete stappen te zetten naar een veiligere digitale samenleving. Tijdens deze dag staan samenwerking, innovatie en actie centraal. Met inspirerende sprekers, interactieve breakout-sessies en waardevolle netwerkmogelijkheden helpen we jou en je organisatie om niet alleen vandaag, maar ook morgen en in de toekomst cyberweerbaar te blijven.",https://www.route443.eu/cyber-resilience-forum-2025/
CIOMeet 2025: Boston,In Person,CIOMeet Boston,2025-06-05,Boston,United States,"CIOMeet Boston brings together Boston-area IT leaders to discuss innovation, efficiency, and collaboration. Moderated by best-selling author Jenna Banks, the event features panels, collaborative sessions, and networking opportunities focused on the future of the CIO and the challenges ahead.",https://www.ciomeetboston.org/
TECHSPO Dallas-Fort Worth 2025,In Person,techspodallas,2025-06-05,Dallas,United States,"In 2025, the TECHSPO series continues to expand to multiple locations globally, to over 50 cities worldwide across 18 countries, plus an international cruise.",https://techspodallas.com
Generative AI Summit: New York,In Person,World AI Accelerator Institute,2025-06-05,New York City,United States,"The Generative AI Summit in New York, part of NY Tech Week, brings together engineers, researchers, and builders to connect with the applied ecosystem. Attendees can validate ideas, deploy powerful products, and conquer challenges in infrastructure, data layers, deployment, and optimization. The event offers a chance to discover innovations, network within a global community, and learn from influential engineering leaders.",https://world.aiacceleratorinstitute.com/location/newyork
DIGITExpo West 2025,In Person,Saltire Technology Events Ltd,2025-06-05,Glasgow,United Kingdom,"DIGIT Expo West is the must-attend tech event for IT & Digital professionals in Scotland. The event features live keynotes, interactive workshops, a tech exhibition, and networking opportunities, bringing together 1600+ IT & Digital professionals. Attendees can discover the latest innovations, engage with leading solutions providers, and earn CPD credits.",https://www.digitexpowest.com/
DeveloperWeek Europe 2025,Virtual,DeveloperWeek Event Series,2025-06-05,Oakland,United States,"DeveloperWeek Europe is the largest developer & engineering conference in Europe. This track covers the basics in performance monitoring, DevOps tools, continuous integration, orchestration, and DevOps analytics.",https://www.developerweek.com/europe/
